common_name,introduced,log_10_mass,resident,max_color_contrast,popularity,commonness
Tropical Parula,False,0.85,False,70,-0.585298669326546,0.038020255417933
Emperor Goose,False,3.33,False,85,0.20692125494846,0.037625581486259
Brown Noddy,False,2.255272505,False,30,-0.372928341757544,0.034599748010092
Black Noddy,False,2.079181246,False,70,-0.568112577110492,0.033284168237845
Ashy Storm-petrel,False,1.597695186,False,52.5,-0.472122406614576,0.032645172348468
Hawaiian Hawk,False,2.698970004,True,30,0.699019863368935,0.031367180569714
Steller's Eider,False,2.91,False,70,-0.425213445400002,0.030521450716126
Masked Booby,False,3.278753601,False,95,0.487308543365343,0.030352304745409
White Wagtail,False,1.397940009,False,95,0.134176231175136,0.029562956882061
White-tailed Ptarmigan,False,2.55,True,55,0.293916665949211,0.027326471269241
Mangrove Cuckoo,False,1.812913357,True,56.5,-0.208216424128261,0.026386771431922
Red-tailed Tropicbird,False,2.84509804,False,60,-0.378440864488477,0.026349183438429
Yellow Rail,False,1.75,False,60,0.392736108836895,0.02452616575403
Island Scrub-jay,False,2.079181246,True,90,-0.209437274318682,0.024394607776806
Bridled Tern,False,2.113943352,False,80,-0.705644023509137,0.023567671919965
Hawaiian Duck,False,2.77815125,True,20,0.449343073690672,0.022458826111928
Shiny Cowbird,False,1.6,True,10,0.590861631032352,0.021594302261594
Ivory Gull,False,2.740362689,False,55,0.509492339915033,0.017403240987151
Lesser Prairie-chicken,False,2.86,True,80,0.983285971600129,0.017027361052223
Boreal Owl,False,2.14,False,23.5,0.898954588741142,0.016501129143325
Northern Jacana,False,2.130333768,True,65,-0.521360315807272,0.015429871328781
Ferruginous Pygmy-owl,False,1.85,True,27,0.56292134955346,0.015260725358063
Bluethroat,False,1.267171728,False,70,0.446162987074874,0.014978815406867
Smooth-billed Ani,False,2.04,True,70,0.25819768915818,0.014922433416628
Akiapolaau,False,1.447158031,True,100,-0.335204073807093,0.014828463432896
Colima Warbler,False,1,False,30,-0.313019225128544,0.014001527576056
Palila,False,1.568201724,True,40,0.566069345647501,0.012479213839599
Hawaiian Petrel,False,2.653212514,False,100,0.005551002803969,0.011501926008787
White-winged Parakeet,True,1.86,True,100,0.678398055724073,0.010656196155199
Gunnison Sage-grouse,False,3.301029996,True,85.5,0.635718431450079,0.0088331784708
Newell's Shearwater,False,2.511883361,False,90,-0.386643890123161,0.00706654277664
Masked Duck,False,2.574031268,True,40,0.371433553622141,0.005487847049944
Himalayan Snowcock,True,3.397940009,True,20,0.398220712809439,0.002837893508704
Puaiohi,False,1.602059991,True,5,-0.109082470358704,0.001447137749472
Akikiki,False,1.161368002,True,30,0.793755584089963,0.001014875824305
