common_name,introduced,log_10_mass,resident,max_color_contrast,popularity,commonness
Townsend's Solitaire,False,1.51,False,25,-1.05007300540934,1.68054039506484
White-throated Swift,False,1.49,False,70,-0.900571370136421,1.65845744888784
Red-necked Grebe,False,3.01,False,50,-0.455885242875386,1.63652485468481
Hooded Oriole,False,1.39,False,70,0.072109072311661,1.62427116880617
Heermann's Gull,False,2.7,False,45,-1.31051479175221,1.6064544598906
Brandt's Cormorant,False,3.35,False,50,-1.35001770486362,1.60147405075281
Wilson's Phalarope,False,1.78,False,55,-1.19329296139357,1.57187350587725
Black-throated Sparrow,False,1.11,False,70,-0.547071216891106,1.56651721680453
Canyon Wren,False,1.08,False,40,-0.180058898362727,1.56507007905506
Red Crossbill,False,1.58,False,80,0.011336628762036,1.5583606222166
Northern Gannet,False,3.48,False,65,-0.064164066688152,1.5287788713378
Eastern Screech-owl,False,2.24,True,32.5,1.04449356720167,1.52285876236269
Canada Warbler,False,1.041392685,False,80,-0.534740118967269,1.51746488529647
Olive-sided Flycatcher,False,1.505149978,False,45,-0.389463594252648,1.50117049011736
Red-breasted Sapsucker,False,1.76,False,90,-0.225996323778826,1.49634043295354
Cape May Warbler,False,1,False,90,-0.439337628598009,1.44905473713964
Bell's Vireo,False,0.93,False,40,-0.552590051966126,1.44653634157562
Cassin's Finch,False,1.42,False,90,-0.815663585203026,1.44266477824587
Clapper Rail,False,2.41,True,60,0.206589382860855,1.43467732962866
Franklin's Gull,False,2.45,False,80,-0.98074893448189,1.43448938966119
Mississippi Kite,False,2.477121255,False,50,0.345612541944322,1.42279952368494
Clay-colored Sparrow,False,1.05,False,45,-0.432321594266156,1.42029992211767
Evening Grosbeak,False,1.79,False,70,0.244084158153873,1.41659750475864
California Thrasher,False,1.93,True,15,-0.576074646547491,1.41039548583233
Golden Eagle,False,3.63,False,30,1.90509274162948,1.39520993646125
American Bittern,False,2.85,False,20,0.234327764547708,1.3848168562605
Black Tern,False,1.740362689,False,65,-0.045771677047019,1.3294685358424
Clark's Grebe,False,3.06,False,80,-1.02721466230202,1.32661184833695
Green-tailed Towhee,False,1.46,False,70,-0.635675424574606,1.32422501075016
Worm-eating Warbler,False,1.15,False,40,-0.430927190191,1.31007313120013
Reddish Egret,False,2.79,False,10,-0.147822898025833,1.30808096754502
American Woodcock,False,2.29,False,40,0.264486426063214,1.30497995808186
Macgillivray's Warbler,False,1,False,80,-1.39437571293145,1.28742636512074
Harris's Sparrow,False,1.55,False,70,-0.680821569254254,1.27519147323885
Bay-breasted Warbler,False,1.089905111,False,55,-0.465603471738289,1.26406542716499
Ruffed Grouse,False,2.73,True,30,1.27459412651959,1.25293938109113
Great Kiskadee,False,1.8,True,90,0.404486290135532,1.22666537363969
Brewer's Sparrow,False,1.02,False,30,-1.14528884229891,1.21873430701271
Snow Bunting,False,1.63,False,100,0.195108795069187,1.21726837526649
Pyrrhuloxia,False,1.55,True,80,-0.141075238227487,1.17032097139403
Pigeon Guillemot,False,2.72,False,70,-0.571744846107336,1.14789973327559
Stilt Sandpiper,False,1.8,False,40,-1.00793969190165,1.13743147708786
Sedge Wren,False,0.96,False,25,-0.447458365297345,1.12799689072117
Limpkin,False,3.03,True,20,0.37356819825503,1.12389979943046
Alder Flycatcher,False,1.133538908,False,60,-0.513693159289996,1.11566802885555
Common Murre,False,3,False,87.5,0.270112872425052,1.09901654773825
Piping Plover,False,1.72,False,80,0.946117936992138,1.04851707848072
Kentucky Warbler,False,1.217483944,False,90,-0.341958192815489,1.04062359984724
Black Oystercatcher,False,2.74,True,52.5,-1.10380823683451,1.03406449498275
Pacific Loon,False,3.35,False,80,-0.353382663660579,1.01602225810622
Rufous-crowned Sparrow,False,1.28,True,30,-0.815810250667669,1.01419924042182
Vaux's Swift,False,1.28,False,50,-0.280642489564205,1.00656887774279
Clark's Nutcracker,False,2.11,True,65,-0.318508447404176,0.992059912254588
Harlequin Duck,False,2.75,False,70,0.477012901080975,0.981103012151446
Red-necked Phalarope,False,1.56,False,55,-0.50589488344932,0.978340294629728
Barrow's Goldeneye,False,2.96,False,90,-0.348116789696178,0.943853310600114
Green Jay,False,1.9,True,100,0.285413941720814,0.939756219309403
Baird's Sandpiper,False,1.62324929,False,50,-1.27913012501238,0.9350953081163
Costa's Hummingbird,False,0.48,False,100,-0.444914333571352,0.914196383734322
Lapland Longspur,False,1.45,False,83,-0.340612778299612,0.883505787047478
Cassin's Vireo,False,1.19,False,70,-0.884922658801067,0.877228592134186
Gray-cheeked Thrush,False,1.477121255,False,50,-0.864790045445494,0.871101749194865
Ross's Goose,False,3.16,False,77.5,0.058283206939027,0.863339828538609
Barn Owl,False,2.61,False,55,1.83550857890462,0.853285040279293
Dusky Flycatcher,False,1.04,False,60,-0.895128535919384,0.835073657432048
Broad-billed Hummingbird,False,0.48,False,100,-0.413905600016028,0.834547425523149
Least Bittern,False,1.94,False,45,-0.031288936396375,0.823045499514363
Prairie Falcon,False,2.85,False,55,0.456250657125866,0.819662580100014
Lucy's Warbler,False,0.819543936,False,40,-1.50749584096785,0.767076977203633
Monk Parakeet,True,2.08,True,100,1.65851023770172,0.763017473906415
Black-billed Cuckoo,False,1.720159303,False,60,-0.307159548033577,0.760311138374935
Snowy Plover,False,1.63,False,85,0.56065080915574,0.759484202518094
Philadelphia Vireo,False,1.086359831,False,65,-0.518889502565042,0.758563296677522
Red Knot,False,2.15,False,60,0.770120921413723,0.755650227181832
Great Cormorant,False,3.4,False,60,-0.026011769538652,0.74807624649304
Couch's Kingbird,False,1.58,False,80,-1.66775455076797,0.732458435196795
Burrowing Owl,False,2.18,False,10,1.37294377921299,0.728117021948381
Mourning Warbler,False,1.088136089,False,80,-0.434597268569507,0.726688678195656
Snowy Owl,False,3.36,False,70,1.90604989007404,0.721426359106668
Swallow-tailed Kite,False,2.67669361,False,90,0.518780458602401,0.713946348401608
Elegant Tern,False,2.41,False,75,-0.822922585618896,0.713250970521992
Mexican Jay,False,2.12,True,100,-0.609938645491469,0.711409158840846
Ferruginous Hawk,False,3.17,False,70,0.477346332642203,0.69299104202939
Hammond's Flycatcher,False,1,False,60,-1.18092350807215,0.692126518179057
Purple Gallinule,False,2.32,False,80,0.14639644484217,0.688649628780976
Gray Jay,False,1.85,True,30,0.492803909798881,0.682334845874191
Cerulean Warbler,False,0.954242509,False,90,0.269629971837171,0.67023151196952
Harris's Hawk,False,2.93,True,40,0.798902727037624,0.643224538644967
Bronzed Cowbird,False,1.8,False,50,-0.916604350292616,0.63754875162756
Cave Swallow,False,1.28,False,60,-0.477538562141973,0.6370789017089
Golden-winged Warbler,False,0.977723605,False,70,0.187213568670007,0.636740609767465
Magnificent Frigatebird,False,3.17,False,47.5,-0.063455752586029,0.613078967863769
American Dipper,False,1.75,True,45,0.134575679884349,0.611594242120804
Yellow-billed Magpie,False,2.19,True,90,-0.231162479923793,0.609865194420137
Brown-crested Flycatcher,False,1.65,False,50,-0.688603527908051,0.609169816540521
Short-eared Owl,False,2.51,False,25,0.639049768460978,0.599472114219387
Upland Sandpiper,False,2.204119983,False,42.5,-0.088828342988328,0.58734998631797
Plain Chachalaca,False,2.69,True,15,-1.13790907852715,0.584643650786491
Hermit Warbler,False,1,False,80,-0.853972370519726,0.578554395840663
Sage Thrasher,False,1.65,False,40,-0.426161683333994,0.578422837863438
Japanese White-eye,True,1.041392685,True,80,-0.154448118465351,0.574006248628038
Gray Flycatcher,False,1.08,False,60,-0.647655522453199,0.569552071399145
White-tipped Dove,False,2.17,True,34.5,-0.279754008047051,0.561019596876287
Lark Bunting,False,1.58,False,80,0.575942529819034,0.557279591523757
Seaside Sparrow,False,1.35,False,47,0.186226190566464,0.545758871518224
Buff-bellied Hummingbird,False,0.6,True,95,-0.762809285134761,0.545589725547506
Calliope Hummingbird,False,0.48,False,100,0.165453160306086,0.544161381794781
Gull-billed Tern,False,2.23,False,90,-0.689893359469215,0.54203766016244
Wilson's Plover,False,1.74,False,85,0.350335563947989,0.531118348052791
Common Myna,True,2.07,True,60,0.125201939496797,0.523450397380267
Chuck-will's-widow,False,2.04,False,25,0.046519065306822,0.522999341458354
Cordilleran Flycatcher,False,1.056904851,False,80,-1.06506977855186,0.519052602141613
Lewis's Woodpecker,False,2.05,False,60,-0.381948182384983,0.510557715612248
Rhinoceros Auklet,False,2.68,False,69.5,-0.79380241997498,0.504092580731492
Black-legged Kittiwake,False,2.62,False,70,-0.660461015899913,0.494827140335525
Yellow-bellied Flycatcher,False,1.071882007,False,60,-0.133844713646557,0.490786431035053
Eastern Whip-poor-will,False,1.72,False,35,1.60182981478063,0.475600881663975
Least Grebe,False,2.12,True,40,-0.965707833406505,0.475375353703018
Pine Grosbeak,False,1.75,False,80,0.246200075788657,0.456017537054244
Henslow's Sparrow,False,1.11,False,44.5,-0.690151880888599,0.455754421099794
Painted Redstart,False,1,False,100,-0.897674148689827,0.444609581029189
Pacific Golden-plover,False,2.18,False,85,-0.11096527502944,0.442673799364311
